DATE;OPEN;HIGH;LOW;CLOSE;VOLUME
2017.12.29;1,19435;1,20256;1,19367;1,19982;-1
2018.01.02;1,20106;1,20815;1,20079;1,20586;-1
2018.01.03;1,20505;1,20663;1,20014;1,20146;-1
2018.01.04;1,20153;1,20888;1,20045;1,20683;-1
2018.01.05;1,20675;1,20831;1,20207;1,20297;-1
2018.01.08;1,2031;1,20526;1,19558;1,19672;-1
2018.01.09;1,1967;1,19757;1,19156;1,19369;-1
2018.01.10;1,19363;1,20182;1,19233;1,19477;-1
2018.01.11;1,19508;1,2059;1,19293;1,20322;-1
2018.01.12;1,20345;1,22188;1,20311;1,22063;-1
2018.01.15;1,2204;1,22967;1,21878;1,22637;-1
2018.01.16;1,22663;1,22835;1,21952;1,22602;-1
2018.01.17;1,22613;1,23231;1,21776;1,21863;-1
2018.01.18;1,21875;1,2265;1,21652;1,22385;-1
2018.01.19;1,22388;1,22955;1,2215;1,22193;-1
2018.01.22;1,22628;1,22672;1,2214;1,2262;-1
2018.01.23;1,226;1,23064;1,22231;1,22986;-1
2018.01.24;1,22993;1,24151;1,22912;1,24083;-1
2018.01.25;1,24068;1,25379;1,23641;1,23957;-1
2018.01.26;1,23955;1,24939;1,23707;1,24272;-1
2018.01.29;1,2417;1,24324;1,23369;1,23825;-1
2018.01.30;1,23825;1,24541;1,23349;1,24027;-1
2018.01.31;1,24028;1,2475;1,2387;1,24135;-1
2018.02.01;1,2407;1,25227;1,23855;1,25091;-1
2018.02.02;1,251;1,25184;1,24091;1,24578;-1
2018.02.05;1,24413;1,24752;1,2363;1,23673;-1
2018.02.06;1,23743;1,24348;1,2314;1,23771;-1
2018.02.07;1,23735;1,24062;1,22458;1,22642;-1
2018.02.08;1,2257;1,22953;1,22122;1,2247;-1
2018.02.09;1,22468;1,22874;1,22056;1,22527;-1
2018.02.12;1,22453;1,22973;1,22351;1,22918;-1
2018.02.13;1,22911;1,23712;1,22846;1,23516;-1
2018.02.14;1,23533;1,24651;1,22761;1,24509;-1
2018.02.15;1,24553;1,25104;1,2448;1,25063;-1
2018.02.16;1,2506;1,25558;1,23932;1,24088;-1
2018.02.19;1,24118;1,24352;1,23692;1,24074;-1
2018.02.20;1,24061;1,24124;1,23199;1,23376;-1
2018.02.21;1,23383;1,23599;1,22811;1,22835;-1
2018.02.22;1,22822;1,23523;1,22597;1,23307;-1
2018.02.23;1,23308;1,23373;1,22798;1,22958;-1
2018.02.26;1,22933;1,23553;1,22777;1,23173;-1
2018.02.27;1,2317;1,23465;1,22216;1,22329;-1
2018.02.28;1,22348;1,22417;1,2188;1,2194;-1
2018.03.01;1,21972;1,22733;1,21545;1,22664;-1
2018.03.02;1,22723;1,23361;1,22516;1,23201;-1
2018.03.05;1,23578;1,23648;1,22691;1,23359;-1
2018.03.06;1,2337;1,24206;1,23281;1,24042;-1
2018.03.07;1,2408;1,24456;1,23849;1,24113;-1
2018.03.08;1,24115;1,24462;1,22981;1,23116;-1
2018.03.09;1,23118;1,23345;1,22732;1,23075;-1
2018.03.12;1,23138;1,23457;1,22906;1,23338;-1
2018.03.13;1,23383;1,24074;1,23145;1,23897;-1
2018.03.14;1,23923;1,24126;1,23473;1,23675;-1
2018.03.15;1,23663;1,23838;1,23003;1,23045;-1
2018.03.16;1,23055;1,23363;1,22603;1,22894;-1
2018.03.19;1,2287;1,23589;1,22582;1,23355;-1
2018.03.20;1,23358;1,23548;1,22398;1,22415;-1
2018.03.21;1,22425;1,235;1,2242;1,23382;-1
2018.03.22;1,23403;1,23886;1,22854;1,23022;-1
2018.03.23;1,23068;1,23735;1,23035;1,23537;-1
2018.03.26;1,2355;1,24617;1,23519;1,24442;-1
2018.03.27;1,2447;1,24766;1,23725;1,24027;-1
2018.03.28;1,24058;1,24218;1,23002;1,23084;-1
2018.03.29;1,23078;1,23355;1,22839;1,23005;-1
2018.03.30;1,23043;1,23311;1,22913;1,23243;-1
2018.04.02;1,23176;1,23451;1,22816;1,23021;-1
2018.04.03;1,23043;1,23362;1,22537;1,22712;-1
2018.04.04;1,22695;1,23148;1,22571;1,22783;-1
2018.04.05;1,22815;1,22903;1,22184;1,22405;-1
2018.04.06;1,22383;1,22909;1,22152;1,22808;-1
2018.04.09;1,22795;1,23311;1,22604;1,23213;-1
2018.04.10;1,23217;1,23776;1,23029;1,23559;-1
2018.04.11;1,23548;1,23967;1,23471;1,23671;-1
2018.04.12;1,23688;1,23798;1,22994;1,23266;-1
2018.04.13;1,23275;1,2346;1,23071;1,23305;-1
2018.04.16;1,2328;1,23947;1,23241;1,23796;-1
2018.04.17;1,23805;1,24138;1,23363;1,23697;-1
2018.04.18;1,23713;1,23973;1,23416;1,23741;-1
2018.04.19;1,2378;1,24003;1,23292;1,23454;-1
2018.04.20;1,23483;1,2353;1,225;1,2288;-1
2018.04.23;1,22858;1,22897;1,21976;1,22088;-1
2018.04.24;1,22085;1,2245;1,21818;1,22325;-1
2018.04.25;1,22333;1,22389;1,21603;1,21609;-1
2018.04.26;1,21603;1,22099;1,20964;1,21033;-1
2018.04.27;1,21058;1,21329;1,20554;1,21309;-1
2018.04.30;1,21255;1,21388;1,20644;1,20774;-1
2018.05.01;1,2078;1,20843;1,19815;1,19929;-1
2018.05.02;1,19935;1,20318;1,19381;1,1951;-1
2018.05.03;1,1951;1,20089;1,19478;1,19889;-1
2018.05.04;1,19903;1,19956;1,19106;1,19629;-1
2018.05.07;1,19598;1,19781;1,18975;1,19228;-1
2018.05.08;1,19253;1,1939;1,18381;1,18648;-1
2018.05.09;1,18645;1,1897;1,18228;1,18506;-1
2018.05.10;1,18507;1,19466;1,18431;1,19154;-1
2018.05.11;1,1918;1,1968;1,18913;1,19389;-1
2018.05.14;1,19465;1,19962;1,19263;1,1927;-1
2018.05.15;1,1924;1,19385;1,18203;1,18377;-1
2018.05.16;1,18428;1,18544;1,17636;1,18076;-1
2018.05.17;1,18117;1,18376;1,17765;1,17946;-1
2018.05.18;1,17973;1,18223;1,17499;1,17703;-1
2018.05.21;1,17678;1,17956;1,17166;1,17916;-1
2018.05.22;1,17908;1,18298;1,17566;1,17788;-1
2018.05.23;1,17785;1,17897;1,16759;1,16962;-1
2018.05.24;1,17028;1,17505;1,16908;1,17195;-1
2018.05.25;1,17227;1,17337;1,16458;1,16519;-1
2018.05.28;1,1682;1,17285;1,16074;1,16246;-1
2018.05.29;1,16215;1,16397;1,15101;1,15398;-1
2018.05.30;1,1536;1,16762;1,15187;1,16653;-1
2018.05.31;1,16653;1,17245;1,16412;1,16937;-1
2018.06.01;1,16938;1,17181;1,16171;1,16599;-1
2018.06.04;1,16633;1,17446;1,16603;1,16986;-1
2018.06.05;1,16985;1,17323;1,16527;1,17177;-1
2018.06.06;1,17165;1,17957;1,17138;1,1774;-1
2018.06.07;1,17773;1,184;1,17731;1,17995;-1
2018.06.08;1,1798;1,18105;1,17271;1,17689;-1
2018.06.11;1,17738;1,18208;1,17703;1,1784;-1
2018.06.12;1,17835;1,18092;1,17332;1,1745;-1
2018.06.13;1,17465;1,1801;1,17255;1,17914;-1
2018.06.14;1,17903;1,18519;1,15632;1,15679;-1
2018.06.15;1,15691;1,16272;1,15434;1,16075;-1
2018.06.18;1,15978;1,16244;1,15654;1,16227;-1
2018.06.19;1,16204;1,16446;1,15308;1,15898;-1
2018.06.20;1,15903;1,16;1,1537;1,15711;-1
2018.06.21;1,15752;1,16337;1,1508;1,16036;-1
2018.06.22;1,16068;1,1675;1,16008;1,16561;-1
2018.06.25;1,16615;1,17131;1,16286;1,17041;-1
2018.06.26;1,17048;1,17206;1,16349;1,16474;-1
2018.06.27;1,16478;1,16722;1,15407;1,1554;-1
2018.06.28;1,15603;1,16008;1,15273;1,15689;-1
2018.06.29;1,15685;1,16905;1,15584;1,16868;-1
2018.07.02;1,168;1,16826;1,15914;1,16394;-1
2018.07.03;1,16398;1,16733;1,16206;1,16575;-1
2018.07.04;1,16578;1,16819;1,16307;1,16564;-1
2018.07.05;1,16573;1,17204;1,16499;1,16906;-1
2018.07.06;1,16905;1,1768;1,16801;1,17458;-1
2018.07.09;1,17435;1,17908;1,17328;1,17509;-1
2018.07.10;1,17513;1,17628;1,16904;1,17445;-1
2018.07.11;1,17405;1,17585;1,16654;1,16732;-1
2018.07.12;1,16735;1,16958;1,16499;1,16711;-1
2018.07.13;1,1669;1,16875;1,1613;1,16844;-1
2018.07.16;1,1689;1,17254;1,16757;1,17115;-1
2018.07.17;1,1713;1,17447;1,16494;1,16613;-1
2018.07.18;1,1659;1,1665;1,16021;1,16384;-1
2018.07.19;1,16408;1,16789;1,15751;1,16418;-1
2018.07.20;1,1643;1,1739;1,16264;1,1723;-1
2018.07.23;1,17265;1,17503;1,16838;1,16918;-1
2018.07.24;1,169;1,1717;1,16548;1,16859;-1
2018.07.25;1,16812;1,17388;1,16639;1,17287;-1
2018.07.26;1,17315;1,17437;1,16403;1,16429;-1
2018.07.27;1,16418;1,16644;1,16205;1,16575;-1
2018.07.30;1,16593;1,17189;1,16482;1,17065;-1
2018.07.31;1,17078;1,17461;1,16843;1,16914;-1
2018.08.01;1,16935;1,16998;1,16573;1,16597;-1
2018.08.02;1,16613;1,16677;1,15821;1,15845;-1
2018.08.03;1,1585;1,16106;1,15603;1,15678;-1
2018.08.06;1,15713;1,1572;1,15301;1,15537;-1
2018.08.07;1,1553;1,16083;1,15507;1,15988;-1
2018.08.08;1,16;1,16283;1,15732;1,16102;-1
2018.08.09;1,16116;1,16194;1,1526;1,15271;-1
2018.08.10;1,15282;1,15366;1,13883;1,14137;-1
2018.08.13;1,13765;1,1433;1,13651;1,14103;-1
2018.08.14;1,14108;1,14296;1,13302;1,13442;-1
2018.08.15;1,1344;1,1355;1,13011;1,13452;-1
2018.08.16;1,13513;1,14093;1,13359;1,13768;-1
2018.08.17;1,13768;1,14449;1,13666;1,14385;-1
2018.08.20;1,14398;1,14851;1,13945;1,14818;-1
2018.08.21;1,14863;1,16013;1,14839;1,15705;-1
2018.08.22;1,15703;1,1623;1,15533;1,15967;-1
2018.08.23;1,1597;1,15998;1,15301;1,15417;-1
2018.08.24;1,1543;1,164;1,15349;1,16226;-1
2018.08.27;1,16218;1,16938;1,15946;1,1678;-1
2018.08.28;1,16804;1,17337;1,16627;1,16948;-1
2018.08.29;1,16943;1,171;1,16519;1,17075;-1
2018.08.30;1,17081;1,17183;1,16417;1,16709;-1
2018.08.31;1,16683;1,16903;1,15847;1,16018;-1
2018.09.03;1,15968;1,16279;1,15891;1,1619;-1
2018.09.04;1,16178;1,16179;1,15302;1,15817;-1
2018.09.05;1,15815;1,16405;1,15427;1,16301;-1
2018.09.06;1,16335;1,16594;1,16056;1,16234;-1
2018.09.07;1,16213;1,16495;1,15507;1,15538;-1
2018.09.10;1,15525;1,16165;1,15261;1,15938;-1
2018.09.11;1,15973;1,16444;1,15656;1,16059;-1
2018.09.12;1,1603;1,16498;1,15702;1,16264;-1
2018.09.13;1,16318;1,17011;1,16092;1,16902;-1
2018.09.14;1,16913;1,17217;1,16208;1,16254;-1
2018.09.17;1,16293;1,16983;1,16178;1,16832;-1
2018.09.18;1,16853;1,17245;1,16523;1,16676;-1
2018.09.19;1,16681;1,1715;1,16503;1,16727;-1
2018.09.20;1,16773;1,17847;1,16691;1,17768;-1
2018.09.21;1,17745;1,18029;1,17328;1,17502;-1
2018.09.24;1,17468;1,18153;1,17242;1,17478;-1
2018.09.25;1,175;1,17928;1,1731;1,17667;-1
2018.09.26;1,17692;1,1798;1,17261;1,17403;-1
2018.09.27;1,17478;1,17572;1,1639;1,16407;-1
2018.09.28;1,16418;1,16514;1,15698;1,1603;-1
2018.10.01;1,16103;1,16249;1,15637;1,15783;-1
2018.10.02;1,15788;1,15803;1,15053;1,15463;-1
2018.10.03;1,15465;1,15937;1,14644;1,1478;-1
2018.10.04;1,14733;1,15428;1,14635;1,15143;-1
2018.10.05;1,15105;1,15499;1,1484;1,15201;-1
2018.10.08;1,1526;1,15307;1,14601;1,14914;-1
2018.10.09;1,14956;1,15034;1,14323;1,14906;-1
2018.10.10;1,14923;1,15454;1,14799;1,15202;-1
2018.10.11;1,15298;1,15995;1,15209;1,15936;-1
2018.10.12;1,15938;1,16106;1,15341;1,15588;-1
2018.10.15;1,15478;1,16063;1,15431;1,15796;-1
2018.10.16;1,15803;1,16215;1,15661;1,15741;-1
2018.10.17;1,15733;1,15806;1,14958;1,15007;-1
2018.10.18;1,15018;1,15274;1,14493;1,14531;-1
2018.10.19;1,14533;1,15348;1,14331;1,15143;-1
2018.10.22;1,1516;1,15503;1,14559;1,14646;-1
2018.10.23;1,14673;1,14936;1,14394;1,14703;-1
2018.10.24;1,14716;1,14768;1,13789;1,1392;-1
2018.10.25;1,13966;1,14328;1,13563;1,13751;-1
2018.10.26;1,13748;1,14212;1,13358;1,14026;-1
2018.10.29;1,13973;1,14166;1,13606;1,1373;-1
2018.10.30;1,1373;1,13878;1,13406;1,13449;-1
2018.10.31;1,1345;1,13602;1,13022;1,13118;-1
2018.11.01;1,13151;1,14243;1,13083;1,14087;-1
2018.11.02;1,14082;1,14559;1,13724;1,13877;-1
2018.11.05;1,13915;1,14241;1,13535;1,14073;-1
2018.11.06;1,14088;1,14379;1,13915;1,14267;-1
2018.11.07;1,14259;1,14998;1,13947;1,14261;-1
2018.11.08;1,14338;1,14472;1,13517;1,13636;-1
2018.11.09;1,13663;1,1369;1,13163;1,13352;-1
2018.11.12;1,13248;1,13307;1,12157;1,12182;-1
2018.11.13;1,12213;1,12938;1,12195;1,12911;-1
2018.11.14;1,12893;1,13481;1,12631;1,1309;-1
2018.11.15;1,13135;1,13625;1,12709;1,13295;-1
2018.11.16;1,13273;1,14205;1,13217;1,1415;-1
2018.11.19;1,1417;1,14646;1,1394;1,14538;-1
2018.11.20;1,1452;1,14724;1,13583;1,13703;-1
2018.11.21;1,13686;1,14249;1,13657;1,13849;-1
2018.11.22;1,13833;1,14341;1,13822;1,14022;-1
2018.11.23;1,1404;1,14214;1,13277;1,13357;-1
2018.11.26;1,1341;1,13839;1,1325;1,13281;-1
2018.11.27;1,13275;1,13438;1,12776;1,1289;-1
2018.11.28;1,12935;1,13877;1,12672;1,13663;-1
2018.11.29;1,13683;1,14017;1,13488;1,13933;-1
2018.11.30;1,13925;1,14006;1,13056;1,13162;-1
2018.12.03;1,1345;1,13798;1,13194;1,13549;-1
2018.12.04;1,1354;1,14191;1,13187;1,13427;-1
2018.12.05;1,13425;1,13614;1,13111;1,13447;-1
2018.12.06;1,13452;1,14128;1,13211;1,13767;-1
2018.12.07;1,13756;1,14236;1,13605;1,13878;-1
2018.12.10;1,13953;1,14428;1,13506;1,13557;-1
2018.12.11;1,13525;1,14003;1,13064;1,13173;-1
2018.12.12;1,1318;1,13875;1,13152;1,13684;-1
2018.12.13;1,13683;1,13935;1,13312;1,13593;-1
2018.12.14;1,13625;1,13652;1,127;1,13054;-1
2018.12.17;1,1303;1,13578;1,13009;1,13475;-1
2018.12.18;1,135;1,14023;1,13368;1,1361;-1
2018.12.19;1,13646;1,14394;1,13644;1,13758;-1
2018.12.20;1,13798;1,14863;1,13763;1,14463;-1
2018.12.21;1,14483;1,14742;1,13561;1,13728;-1
2018.12.24;1,13668;1,14387;1,1361;1,1408;-1
2018.12.26;1,14137;1,14165;1,13431;1,13528;-1
2018.12.27;1,1357;1,14544;1,13529;1,14303;-1
2018.12.28;1,14318;1,14729;1,14277;1,14428;-1
