DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOLUME
2019.03.01;00:00:00;1,13720;1,14088;1,13534;1,13659;-1,00000
2019.03.04;00:00:00;1,13778;1,13816;1,13092;1,13397;-1,00000
2019.03.05;00:00:00;1,13382;1,13414;1,12897;1,13080;-1,00000
2019.03.06;00:00:00;1,13080;1,13248;1,12856;1,13067;-1,00000
2019.03.07;00:00:00;1,13096;1,13204;1,11762;1,11937;-1,00000
2019.03.08;00:00:00;1,11915;1,12461;1,11853;1,12357;-1,00000
2019.03.11;00:00:00;1,12323;1,12584;1,12219;1,12456;-1,00000
2019.03.12;00:00:00;1,12458;1,13049;1,12450;1,12875;-1,00000
2019.03.13;00:00:00;1,12876;1,13387;1,12775;1,13268;-1,00000
2019.03.14;00:00:00;1,13258;1,13378;1,12942;1,13037;-1,00000
2019.03.15;00:00:00;1,13038;1,13444;1,13001;1,13249;-1,00000
2019.03.18;00:00:00;1,13237;1,13591;1,13188;1,13377;-1,00000
2019.03.19;00:00:00;1,13380;1,13617;1,13338;1,13520;-1,00000
2019.03.20;00:00:00;1,13525;1,14483;1,13356;1,14135;-1,00000
2019.03.21;00:00:00;1,14158;1,14375;1,13426;1,13739;-1,00000
2019.03.22;00:00:00;1,13750;1,13908;1,12733;1,13017;-1,00000
2019.03.25;00:00:00;1,12925;1,13315;1,12890;1,13125;-1,00000
2019.03.26;00:00:00;1,13131;1,13260;1,12634;1,12659;-1,00000
2019.03.27;00:00:00;1,12650;1,12856;1,12423;1,12440;-1,00000
2019.03.28;00:00:00;1,12493;1,12614;1,12136;1,12220;-1,00000
2019.03.29;00:00:00;1,12267;1,12468;1,12099;1,12175;-1,00000
2019.04.01;00:00:00;1,12273;1,12500;1,12042;1,12130;-1,00000
2019.04.02;00:00:00;1,12070;1,12165;1,11838;1,12045;-1,00000
2019.04.03;00:00:00;1,12033;1,12549;1,12017;1,12324;-1,00000
2019.04.04;00:00:00;1,12363;1,12478;1,12061;1,12206;-1,00000
2019.04.05;00:00:00;1,12220;1,12487;1,12101;1,12152;-1,00000
2019.04.08;00:00:00;1,12149;1,12746;1,12133;1,12637;-1,00000
2019.04.09;00:00:00;1,12600;1,12844;1,12552;1,12628;-1,00000
2019.04.10;00:00:00;1,12638;1,12882;1,12296;1,12737;-1,00000
2019.04.11;00:00:00;1,12745;1,12876;1,12501;1,12534;-1,00000
2019.04.12;00:00:00;1,12558;1,13239;1,12537;1,12987;-1,00000
2019.04.15;00:00:00;1,13027;1,13210;1,12977;1,13040;-1,00000
2019.04.16;00:00:00;1,13035;1,13140;1,12798;1,12811;-1,00000
2019.04.17;00:00:00;1,12855;1,13238;1,12789;1,12961;-1,00000
2019.04.18;00:00:00;1,12973;1,13042;1,12263;1,12316;-1,00000
2019.04.19;00:00:00;1,12295;1,12479;1,12295;1,12455;-1,00000
2019.04.22;00:00:00;1,12424;1,12621;1,12359;1,12572;-1,00000
2019.04.23;00:00:00;1,12578;1,12614;1,11923;1,12270;-1,00000
2019.04.24;00:00:00;1,12238;1,12254;1,11407;1,11558;-1,00000
2019.04.25;00:00:00;1,11530;1,11626;1,11181;1,11323;-1,00000
2019.04.26;00:00:00;1,11330;1,11741;1,11114;1,11497;-1,00000
2019.04.29;00:00:00;1,11480;1,11869;1,11448;1,11859;-1,00000
2019.04.30;00:00:00;1,11858;1,12294;1,11759;1,12154;-1,00000
2019.05.01;00:00:00;1,12162;1,12650;1,11872;1,11958;-1,00000
2019.05.02;00:00:00;1,11965;1,12192;1,11709;1,11721;-1,00000
