DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOLUME
2020.01.05;19:15:00;1,11635;1,11635;1,11583;1,11599;-1,00000
2020.01.05;20:00:00;1,11599;1,11679;1,11597;1,11607;-1,00000
2020.01.05;21:00:00;1,11607;1,11685;1,11602;1,11636;-1,00000
2020.01.05;22:00:00;1,11636;1,11656;1,11614;1,11630;-1,00000
2020.01.05;23:00:00;1,11630;1,11672;1,11625;1,11656;-1,00000
2020.01.06;00:00:00;1,11656;1,11711;1,11655;1,11659;-1,00000
2020.01.06;01:00:00;1,11659;1,11664;1,11618;1,11645;-1,00000
2020.01.06;02:00:00;1,11645;1,11652;1,11606;1,11625;-1,00000
2020.01.06;03:00:00;1,11625;1,11627;1,11573;1,11610;-1,00000
2020.01.06;04:00:00;1,11610;1,11668;1,11598;1,11647;-1,00000
2020.01.06;05:00:00;1,11647;1,11800;1,11633;1,11787;-1,00000
2020.01.06;06:00:00;1,11787;1,11938;1,11753;1,11934;-1,00000
2020.01.06;07:00:00;1,11934;1,11998;1,11899;1,11964;-1,00000
2020.01.06;08:00:00;1,11964;1,12058;1,11963;1,12034;-1,00000
2020.01.06;09:00:00;1,12034;1,12044;1,11952;1,11982;-1,00000
2020.01.06;10:00:00;1,11982;1,12034;1,11913;1,11978;-1,00000
2020.01.06;11:00:00;1,11978;1,12003;1,11826;1,11833;-1,00000
2020.01.06;12:00:00;1,11833;1,11903;1,11823;1,11888;-1,00000
2020.01.06;13:00:00;1,11888;1,11898;1,11811;1,11873;-1,00000
2020.01.06;14:00:00;1,11873;1,11962;1,11843;1,11951;-1,00000
2020.01.06;15:00:00;1,11951;1,11980;1,11918;1,11920;-1,00000
2020.01.06;16:00:00;1,11920;1,11930;1,11881;1,11913;-1,00000
2020.01.06;17:00:00;1,11913;1,11940;1,11890;1,11936;-1,00000
2020.01.06;18:00:00;1,11936;1,11993;1,11930;1,11971;-1,00000
2020.01.06;19:15:00;1,11951;1,11968;1,11947;1,11957;-1,00000
2020.01.06;20:00:00;1,11957;1,11977;1,11943;1,11956;-1,00000
2020.01.06;21:00:00;1,11956;1,11956;1,11891;1,11899;-1,00000
2020.01.06;22:00:00;1,11899;1,11971;1,11897;1,11934;-1,00000
2020.01.06;23:00:00;1,11934;1,11934;1,11911;1,11916;-1,00000
2020.01.07;00:00:00;1,11916;1,11945;1,11914;1,11923;-1,00000
2020.01.07;01:00:00;1,11923;1,11936;1,11907;1,11910;-1,00000
2020.01.07;02:00:00;1,11910;1,11927;1,11829;1,11831;-1,00000
2020.01.07;03:00:00;1,11831;1,11899;1,11810;1,11819;-1,00000
2020.01.07;04:00:00;1,11819;1,11855;1,11731;1,11741;-1,00000
2020.01.07;05:00:00;1,11741;1,11877;1,11726;1,11848;-1,00000
2020.01.07;06:00:00;1,11848;1,11899;1,11806;1,11847;-1,00000
2020.01.07;07:00:00;1,11847;1,11863;1,11651;1,11764;-1,00000
2020.01.07;08:00:00;1,11764;1,11850;1,11722;1,11819;-1,00000
2020.01.07;09:00:00;1,11819;1,11833;1,11710;1,11749;-1,00000
2020.01.07;10:00:00;1,11749;1,11781;1,11548;1,11562;-1,00000
2020.01.07;11:00:00;1,11562;1,11623;1,11465;1,11482;-1,00000
2020.01.07;12:00:00;1,11482;1,11518;1,11344;1,11418;-1,00000
2020.01.07;13:00:00;1,11418;1,11441;1,11337;1,11371;-1,00000
2020.01.07;14:00:00;1,11371;1,11475;1,11368;1,11425;-1,00000
2020.01.07;15:00:00;1,11425;1,11497;1,11414;1,11437;-1,00000
2020.01.07;16:00:00;1,11437;1,11452;1,11418;1,11447;-1,00000
2020.01.07;17:00:00;1,11447;1,11478;1,11425;1,11439;-1,00000
2020.01.07;18:00:00;1,11439;1,11546;1,11439;1,11530;-1,00000
2020.01.07;19:15:00;1,11530;1,11530;1,11451;1,11486;-1,00000
2020.01.07;20:00:00;1,11486;1,11546;1,11469;1,11543;-1,00000
2020.01.07;21:00:00;1,11543;1,11683;1,11527;1,11588;-1,00000
2020.01.07;22:00:00;1,11588;1,11634;1,11549;1,11558;-1,00000
2020.01.07;23:00:00;1,11558;1,11615;1,11533;1,11588;-1,00000
2020.01.08;00:00:00;1,11588;1,11592;1,11538;1,11547;-1,00000
2020.01.08;01:00:00;1,11547;1,11559;1,11452;1,11478;-1,00000
2020.01.08;02:00:00;1,11478;1,11513;1,11475;1,11494;-1,00000
2020.01.08;03:00:00;1,11494;1,11541;1,11486;1,11503;-1,00000
2020.01.08;04:00:00;1,11503;1,11550;1,11434;1,11513;-1,00000
2020.01.08;05:00:00;1,11513;1,11534;1,11302;1,11352;-1,00000
2020.01.08;06:00:00;1,11352;1,11449;1,11255;1,11384;-1,00000
2020.01.08;07:00:00;1,11384;1,11387;1,11255;1,11275;-1,00000
2020.01.08;08:00:00;1,11275;1,11313;1,11197;1,11273;-1,00000
2020.01.08;09:00:00;1,11273;1,11309;1,11141;1,11168;-1,00000
2020.01.08;10:00:00;1,11168;1,11223;1,11113;1,11201;-1,00000
2020.01.08;11:00:00;1,11201;1,11270;1,11177;1,11246;-1,00000
2020.01.08;12:00:00;1,11246;1,11310;1,11153;1,11200;-1,00000
2020.01.08;13:00:00;1,11200;1,11203;1,11089;1,11166;-1,00000
2020.01.08;14:00:00;1,11166;1,11261;1,11133;1,11181;-1,00000
2020.01.08;15:00:00;1,11181;1,11181;1,11104;1,11133;-1,00000
2020.01.08;16:00:00;1,11133;1,11143;1,11083;1,11114;-1,00000
2020.01.08;17:00:00;1,11114;1,11149;1,11098;1,11121;-1,00000
2020.01.08;18:00:00;1,11121;1,11128;1,11017;1,11056;-1,00000
2020.01.08;19:15:00;1,11108;1,11148;1,11067;1,11102;-1,00000
2020.01.08;20:00:00;1,11102;1,11131;1,11071;1,11131;-1,00000
2020.01.08;21:00:00;1,11131;1,11161;1,11093;1,11135;-1,00000
2020.01.08;22:00:00;1,11135;1,11195;1,11112;1,11175;-1,00000
2020.01.08;23:00:00;1,11175;1,11191;1,11147;1,11153;-1,00000
2020.01.09;00:00:00;1,11153;1,11179;1,11142;1,11155;-1,00000
2020.01.09;01:00:00;1,11155;1,11160;1,11128;1,11157;-1,00000
2020.01.09;02:00:00;1,11157;1,11191;1,11153;1,11184;-1,00000
2020.01.09;03:00:00;1,11184;1,11192;1,11113;1,11125;-1,00000
2020.01.09;04:00:00;1,11125;1,11205;1,11112;1,11153;-1,00000
2020.01.09;05:00:00;1,11153;1,11178;1,11053;1,11174;-1,00000
2020.01.09;06:00:00;1,11174;1,11192;1,10986;1,10995;-1,00000
2020.01.09;07:00:00;1,10995;1,11118;1,10968;1,11098;-1,00000
2020.01.09;08:00:00;1,11098;1,11128;1,11035;1,11047;-1,00000
2020.01.09;09:00:00;1,11047;1,11169;1,11035;1,11137;-1,00000
2020.01.09;10:00:00;1,11137;1,11175;1,11059;1,11150;-1,00000
2020.01.09;11:00:00;1,11150;1,11150;1,11039;1,11083;-1,00000
2020.01.09;12:00:00;1,11083;1,11109;1,10925;1,11023;-1,00000
2020.01.09;13:00:00;1,11023;1,11062;1,10936;1,11062;-1,00000
2020.01.09;14:00:00;1,11062;1,11115;1,11039;1,11048;-1,00000
2020.01.09;15:00:00;1,11048;1,11087;1,11036;1,11052;-1,00000
2020.01.09;16:00:00;1,11052;1,11100;1,11052;1,11062;-1,00000
2020.01.09;17:00:00;1,11062;1,11076;1,11039;1,11064;-1,00000
2020.01.09;18:00:00;1,11064;1,11071;1,11036;1,11060;-1,00000
2020.01.09;19:15:00;1,11088;1,11088;1,11040;1,11068;-1,00000
2020.01.09;20:00:00;1,11068;1,11095;1,11065;1,11094;-1,00000
2020.01.09;21:00:00;1,11094;1,11096;1,11062;1,11071;-1,00000
2020.01.09;22:00:00;1,11071;1,11074;1,11023;1,11043;-1,00000
2020.01.09;23:00:00;1,11043;1,11083;1,11037;1,11082;-1,00000
2020.01.10;00:00:00;1,11082;1,11089;1,11072;1,11083;-1,00000
2020.01.10;01:00:00;1,11083;1,11112;1,11067;1,11076;-1,00000
2020.01.10;02:00:00;1,11076;1,11102;1,11072;1,11091;-1,00000
2020.01.10;03:00:00;1,11091;1,11102;1,11069;1,11094;-1,00000
2020.01.10;04:00:00;1,11094;1,11112;1,11045;1,11071;-1,00000
2020.01.10;05:00:00;1,11071;1,11093;1,10934;1,10995;-1,00000
2020.01.10;06:00:00;1,10995;1,11002;1,10913;1,10965;-1,00000
2020.01.10;07:00:00;1,10965;1,10986;1,10900;1,10927;-1,00000
2020.01.10;08:00:00;1,10927;1,10963;1,10851;1,10931;-1,00000
2020.01.10;09:00:00;1,10931;1,10995;1,10918;1,10985;-1,00000
2020.01.10;10:00:00;1,10985;1,11138;1,10899;1,10969;-1,00000
2020.01.10;11:00:00;1,10969;1,11036;1,10863;1,11009;-1,00000
2020.01.10;12:00:00;1,11009;1,11179;1,10985;1,11130;-1,00000
2020.01.10;13:00:00;1,11130;1,11208;1,11112;1,11182;-1,00000
2020.01.10;14:00:00;1,11182;1,11294;1,11182;1,11226;-1,00000
2020.01.10;15:00:00;1,11226;1,11234;1,11185;1,11187;-1,00000
2020.01.10;16:00:00;1,11187;1,11234;1,11173;1,11222;-1,00000
2020.01.10;17:00:00;1,11222;1,11223;1,11196;1,11211;-1,00000
2020.01.10;18:00:00;1,11211;1,11226;1,11201;1,11203;-1,00000
2020.01.12;19:15:00;1,11208;1,11215;1,11128;1,11172;-1,00000
2020.01.12;20:00:00;1,11172;1,11184;1,11149;1,11164;-1,00000
2020.01.12;21:00:00;1,11164;1,11188;1,11161;1,11188;-1,00000
2020.01.12;22:00:00;1,11188;1,11216;1,11174;1,11214;-1,00000
2020.01.12;23:00:00;1,11214;1,11264;1,11201;1,11258;-1,00000
2020.01.13;00:00:00;1,11258;1,11300;1,11253;1,11294;-1,00000
2020.01.13;01:00:00;1,11294;1,11306;1,11274;1,11274;-1,00000
2020.01.13;02:00:00;1,11274;1,11320;1,11272;1,11298;-1,00000
