DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOLUME
2009.12.07;00:00:00;1,48583;1,49050;1,47565;1,48263;-1,00000
2009.12.08;00:00:00;1,48263;1,48670;1,46813;1,47035;-1,00000
2009.12.09;00:00:00;1,47063;1,47823;1,46688;1,47248;-1,00000
2009.12.10;00:00:00;1,47340;1,47603;1,46845;1,47308;-1,00000
2009.12.11;00:00:00;1,47330;1,47763;1,45865;1,46150;-1,00000
2009.12.14;00:00:00;1,46190;1,46855;1,45988;1,46568;-1,00000
2009.12.15;00:00:00;1,46553;1,46593;1,45038;1,45380;-1,00000
2009.12.16;00:00:00;1,45348;1,45905;1,45055;1,45310;-1,00000
2009.12.17;00:00:00;1,45265;1,45335;1,43045;1,43383;-1,00000
2009.12.18;00:00:00;1,43410;1,44118;1,42615;1,43438;-1,00000
2009.12.21;00:00:00;1,43238;1,43735;1,42675;1,42773;-1,00000
2009.12.22;00:00:00;1,42730;1,43323;1,42178;1,42495;-1,00000
2009.12.23;00:00:00;1,42440;1,43665;1,42345;1,43368;-1,00000
2009.12.24;00:00:00;1,43280;1,44183;1,43243;1,43795;-1,00000
2009.12.28;00:00:00;1,43858;1,44138;1,43543;1,43790;-1,00000
2009.12.29;00:00:00;1,43788;1,44585;1,43318;1,43533;-1,00000
2009.12.30;00:00:00;1,43530;1,43608;1,42735;1,43393;-1,00000
2009.12.31;00:00:00;1,43335;1,44405;1,43068;1,43263;-1,00000
2010.01.04;00:00:00;1,43085;1,44558;1,42575;1,44128;-1,00000
2010.01.05;00:00:00;1,44153;1,44843;1,43465;1,43655;-1,00000
2010.01.06;00:00:00;1,43615;1,44353;1,42840;1,44075;-1,00000
2010.01.07;00:00:00;1,44123;1,44473;1,42995;1,43078;-1,00000
2010.01.08;00:00:00;1,43105;1,44388;1,42638;1,44105;-1,00000
2010.01.11;00:00:00;1,44270;1,45573;1,44085;1,45130;-1,00000
2010.01.12;00:00:00;1,45133;1,45458;1,44540;1,44855;-1,00000
2010.01.13;00:00:00;1,44853;1,45795;1,44570;1,45105;-1,00000
2010.01.14;00:00:00;1,45093;1,45558;1,44468;1,44998;-1,00000
2010.01.15;00:00:00;1,44978;1,45123;1,43373;1,43858;-1,00000
2010.01.18;00:00:00;1,43625;1,44005;1,43355;1,43833;-1,00000
2010.01.19;00:00:00;1,43865;1,44143;1,42528;1,42880;-1,00000
2010.01.20;00:00:00;1,42880;1,42953;1,40805;1,41058;-1,00000
2010.01.21;00:00:00;1,41008;1,41433;1,40293;1,40840;-1,00000
2010.01.22;00:00:00;1,40885;1,41815;1,40665;1,41383;-1,00000
2010.01.25;00:00:00;1,41450;1,41943;1,41285;1,41505;-1,00000
2010.01.26;00:00:00;1,41495;1,41795;1,40428;1,40718;-1,00000
2010.01.27;00:00:00;1,40768;1,40970;1,39935;1,40233;-1,00000
2010.01.28;00:00:00;1,40260;1,40525;1,39375;1,39708;-1,00000
2010.01.29;00:00:00;1,39695;1,39875;1,38625;1,38633;-1,00000
2010.02.01;00:00:00;1,38585;1,39385;1,38530;1,39305;-1,00000
2010.02.02;00:00:00;1,39318;1,39748;1,38865;1,39645;-1,00000
2010.02.03;00:00:00;1,39640;1,40263;1,38858;1,38933;-1,00000
2010.02.04;00:00:00;1,38915;1,39028;1,37228;1,37228;-1,00000
2010.02.05;00:00:00;1,37188;1,37460;1,35855;1,36785;-1,00000
2010.02.08;00:00:00;1,36583;1,37138;1,36218;1,36480;-1,00000
2010.02.09;00:00:00;1,36450;1,38395;1,36435;1,37970;-1,00000
2010.02.10;00:00:00;1,37920;1,38128;1,36773;1,37370;-1,00000
2010.02.11;00:00:00;1,37333;1,38008;1,35958;1,36933;-1,00000
2010.02.12;00:00:00;1,36863;1,36953;1,35318;1,36315;-1,00000
2010.02.15;00:00:00;1,36180;1,36335;1,35795;1,35985;-1,00000
2010.02.16;00:00:00;1,36003;1,37795;1,35888;1,37713;-1,00000
2010.02.17;00:00:00;1,37693;1,37888;1,35855;1,36070;-1,00000
2010.02.18;00:00:00;1,35990;1,36545;1,34985;1,35270;-1,00000
2010.02.19;00:00:00;1,35173;1,36185;1,34438;1,36130;-1,00000
2010.02.22;00:00:00;1,36298;1,36538;1,35743;1,35958;-1,00000
2010.02.23;00:00:00;1,36013;1,36918;1,34968;1,35075;-1,00000
2010.02.24;00:00:00;1,35095;1,36265;1,35033;1,35408;-1,00000
2010.02.25;00:00:00;1,35400;1,35708;1,34515;1,35485;-1,00000
2010.02.26;00:00:00;1,35490;1,36828;1,35305;1,36328;-1,00000
2010.03.01;00:00:00;1,36340;1,36543;1,34608;1,35600;-1,00000
2010.03.02;00:00:00;1,35630;1,36223;1,34353;1,36150;-1,00000
2010.03.03;00:00:00;1,36113;1,37360;1,35928;1,36965;-1,00000
2010.03.04;00:00:00;1,37000;1,37123;1,35515;1,35813;-1,00000
2010.03.05;00:00:00;1,35840;1,36308;1,35308;1,36240;-1,00000
2010.03.08;00:00:00;1,36350;1,37045;1,36058;1,36340;-1,00000
2010.03.09;00:00:00;1,36318;1,36355;1,35378;1,36018;-1,00000
2010.03.10;00:00:00;1,35978;1,36795;1,35445;1,36570;-1,00000
2010.03.11;00:00:00;1,36570;1,36873;1,36213;1,36810;-1,00000
2010.03.12;00:00:00;1,36755;1,37960;1,36698;1,37690;-1,00000
2010.03.15;00:00:00;1,37775;1,37783;1,36398;1,36770;-1,00000
2010.03.16;00:00:00;1,36743;1,37835;1,36568;1,37658;-1,00000
2010.03.17;00:00:00;1,37718;1,38178;1,37265;1,37375;-1,00000
2010.03.18;00:00:00;1,37380;1,37408;1,35868;1,36080;-1,00000
2010.03.19;00:00:00;1,36060;1,36268;1,35033;1,35300;-1,00000
2010.03.22;00:00:00;1,35300;1,35685;1,34635;1,35585;-1,00000
2010.03.23;00:00:00;1,35565;1,35695;1,34763;1,34985;-1,00000
2010.03.24;00:00:00;1,35055;1,35058;1,33125;1,33143;-1,00000
2010.03.25;00:00:00;1,33150;1,33873;1,32678;1,32720;-1,00000
2010.03.26;00:00:00;1,32765;1,34253;1,32683;1,34093;-1,00000
2010.03.29;00:00:00;1,34643;1,35065;1,34190;1,34825;-1,00000
2010.03.30;00:00:00;1,34795;1,35373;1,33958;1,34138;-1,00000
2010.03.31;00:00:00;1,34123;1,35483;1,33845;1,35095;-1,00000
2010.04.01;00:00:00;1,35133;1,35913;1,34603;1,35888;-1,00000
2010.04.02;00:00:00;1,35833;1,35910;1,34755;1,35030;-1,00000
2010.04.05;00:00:00;1,34945;1,35385;1,34608;1,34840;-1,00000
2010.04.06;00:00:00;1,34870;1,34973;1,33555;1,33988;-1,00000
2010.04.07;00:00:00;1,33978;1,34085;1,33263;1,33438;-1,00000
2010.04.08;00:00:00;1,33408;1,33663;1,32828;1,33610;-1,00000
2010.04.09;00:00:00;1,33605;1,34995;1,33423;1,34990;-1,00000
2010.04.12;00:00:00;1,36335;1,36920;1,35663;1,35915;-1,00000
2010.04.13;00:00:00;1,35863;1,36275;1,35458;1,36135;-1,00000
2010.04.14;00:00:00;1,36080;1,36788;1,35948;1,36533;-1,00000
2010.04.15;00:00:00;1,36518;1,36668;1,35218;1,35725;-1,00000
2010.04.16;00:00:00;1,35795;1,35848;1,34725;1,35028;-1,00000
2010.04.19;00:00:00;1,34685;1,34980;1,34168;1,34893;-1,00000
2010.04.20;00:00:00;1,34883;1,35228;1,34288;1,34343;-1,00000
2010.04.21;00:00:00;1,34405;1,34473;1,33585;1,33890;-1,00000
2010.04.22;00:00:00;1,33900;1,34213;1,32585;1,32945;-1,00000
2010.04.23;00:00:00;1,32955;1,33998;1,32023;1,33840;-1,00000
2010.04.26;00:00:00;1,33355;1,33975;1,32918;1,33818;-1,00000
2010.04.27;00:00:00;1,33905;1,34153;1,31658;1,31750;-1,00000
2010.04.28;00:00:00;1,31613;1,32663;1,31148;1,32200;-1,00000
2010.04.29;00:00:00;1,32138;1,32785;1,31845;1,32335;-1,00000
2010.04.30;00:00:00;1,32260;1,33425;1,32243;1,32945;-1,00000
2010.05.03;00:00:00;1,33345;1,33473;1,31548;1,31945;-1,00000
2010.05.04;00:00:00;1,31918;1,32138;1,29820;1,29870;-1,00000
2010.05.05;00:00:00;1,29790;1,29968;1,28040;1,28143;-1,00000
2010.05.06;00:00:00;1,28090;1,28565;1,25215;1,26180;-1,00000
2010.05.07;00:00:00;1,26563;1,27983;1,25860;1,27513;-1,00000
2010.05.10;00:00:00;1,29088;1,30945;1,27595;1,27870;-1,00000
2010.05.11;00:00:00;1,27833;1,28033;1,26565;1,26620;-1,00000
2010.05.12;00:00:00;1,26608;1,27393;1,26055;1,26135;-1,00000
2010.05.13;00:00:00;1,26185;1,26845;1,25185;1,25348;-1,00000
2010.05.14;00:00:00;1,25298;1,25758;1,23545;1,23590;-1,00000
2010.05.17;00:00:00;1,23558;1,24145;1,22348;1,23953;-1,00000
2010.05.18;00:00:00;1,23948;1,24445;1,21615;1,22023;-1,00000
2010.05.19;00:00:00;1,21888;1,24238;1,21443;1,24155;-1,00000
2010.05.20;00:00:00;1,24290;1,25978;1,22970;1,24863;-1,00000
2010.05.21;00:00:00;1,24658;1,26725;1,24558;1,25708;-1,00000
2010.05.24;00:00:00;1,25445;1,25635;1,23448;1,23720;-1,00000
2010.05.25;00:00:00;1,23518;1,23565;1,21783;1,23450;-1,00000
2010.05.26;00:00:00;1,23623;1,23883;1,21675;1,21785;-1,00000
2010.05.27;00:00:00;1,21690;1,23945;1,21545;1,23615;-1,00000
2010.05.28;00:00:00;1,23675;1,24525;1,22655;1,22730;-1,00000
2010.05.31;00:00:00;1,22705;1,23345;1,22655;1,23058;-1,00000
2010.06.01;00:00:00;1,23058;1,23543;1,21115;1,22285;-1,00000
2010.06.02;00:00:00;1,22335;1,22738;1,21758;1,22490;-1,00000
2010.06.03;00:00:00;1,22510;1,23268;1,21525;1,21618;-1,00000
2010.06.04;00:00:00;1,21595;1,22158;1,19558;1,19665;-1,00000
2010.06.07;00:00:00;1,19325;1,19915;1,18765;1,19235;-1,00000
2010.06.08;00:00:00;1,19153;1,20085;1,19023;1,19733;-1,00000
2010.06.09;00:00:00;1,19738;1,20735;1,19248;1,19783;-1,00000
2010.06.10;00:00:00;1,19843;1,21418;1,19575;1,21243;-1,00000
2010.06.11;00:00:00;1,21100;1,21523;1,20453;1,21120;-1,00000
2010.06.14;00:00:00;1,21310;1,22985;1,21158;1,22200;-1,00000
2010.06.15;00:00:00;1,22195;1,23495;1,21683;1,23320;-1,00000
2010.06.16;00:00:00;1,23253;1,23533;1,22553;1,23108;-1,00000
2010.06.17;00:00:00;1,23110;1,24128;1,22423;1,23880;-1,00000
2010.06.18;00:00:00;1,23810;1,24168;1,23533;1,23878;-1,00000
2010.06.21;00:00:00;1,24570;1,24683;1,23038;1,23120;-1,00000
2010.06.22;00:00:00;1,23173;1,23540;1,22518;1,22708;-1,00000
2010.06.23;00:00:00;1,22678;1,23438;1,22095;1,23100;-1,00000
2010.06.24;00:00:00;1,23135;1,23883;1,22618;1,23335;-1,00000
2010.06.25;00:00:00;1,23290;1,23953;1,22543;1,23683;-1,00000
2010.06.28;00:00:00;1,23723;1,23978;1,22658;1,22770;-1,00000
2010.06.29;00:00:00;1,22773;1,22905;1,21518;1,21878;-1,00000
2010.06.30;00:00:00;1,21830;1,23043;1,21670;1,22373;-1,00000
2010.07.01;00:00:00;1,22365;1,25400;1,21935;1,25273;-1,00000
2010.07.02;00:00:00;1,25178;1,26113;1,24820;1,25685;-1,00000
2010.07.05;00:00:00;1,25575;1,25633;1,25093;1,25385;-1,00000
2010.07.06;00:00:00;1,25388;1,26623;1,24805;1,26265;-1,00000
2010.07.07;00:00:00;1,26260;1,26648;1,25538;1,26380;-1,00000
2010.07.08;00:00:00;1,26345;1,27115;1,26208;1,26975;-1,00000
2010.07.09;00:00:00;1,26935;1,27228;1,26093;1,26398;-1,00000
2010.07.12;00:00:00;1,26335;1,26475;1,25513;1,25958;-1,00000
2010.07.13;00:00:00;1,25900;1,27388;1,25228;1,27243;-1,00000
2010.07.14;00:00:00;1,27288;1,27778;1,26828;1,27438;-1,00000
2010.07.15;00:00:00;1,27410;1,29548;1,27090;1,29500;-1,00000
2010.07.16;00:00:00;1,29385;1,30070;1,28900;1,29295;-1,00000
2010.07.19;00:00:00;1,29048;1,29918;1,28708;1,29418;-1,00000
2010.07.20;00:00:00;1,29415;1,30285;1,28395;1,28800;-1,00000
2010.07.21;00:00:00;1,28858;1,29128;1,27325;1,27540;-1,00000
