<DATE>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2011.04.08,1.43033,1.44869,1.42908,1.44823,69620,
2011.04.11,1.44525,1.44825,1.44205,1.44318,61225,
2011.04.12,1.44338,1.45183,1.43770,1.44783,79566,
2011.04.13,1.44784,1.45193,1.44130,1.44404,72900,
2011.04.14,1.44403,1.45141,1.43647,1.44859,74272,
2011.04.15,1.44858,1.45029,1.43905,1.44285,67940,
2011.04.18,1.44161,1.44199,1.41573,1.42270,78429,
2011.04.19,1.42274,1.43520,1.42051,1.43310,73380,
2011.04.20,1.43313,1.45437,1.43278,1.45213,81284,
2011.04.21,1.45213,1.46478,1.45050,1.45498,73070,
2011.04.22,1.45502,1.45873,1.45339,1.45597,34247,
2011.04.25,1.45603,1.46259,1.45251,1.45784,55777,
2011.04.26,1.45784,1.46559,1.44929,1.46467,65421,
2011.04.27,1.46468,1.47946,1.46321,1.47710,72405,
2011.04.28,1.47717,1.48809,1.47705,1.48232,68640,
2011.04.29,1.48232,1.48772,1.48034,1.48062,50090,
2011.05.02,1.48080,1.49012,1.47632,1.48288,65573,
2011.05.03,1.48288,1.48885,1.47542,1.48240,69687,
2011.05.04,1.48240,1.49385,1.47748,1.48256,77606,
2011.05.05,1.48255,1.48980,1.45096,1.45373,83323,
2011.05.06,1.45374,1.45873,1.43117,1.43132,95920,
2011.05.09,1.43613,1.44407,1.42548,1.43645,87611,
2011.05.10,1.43646,1.44118,1.42700,1.44086,96552,
2011.05.11,1.44087,1.44227,1.41720,1.41913,96460,
2011.05.12,1.41913,1.42760,1.41229,1.42453,97386,
2011.05.13,1.42452,1.43388,1.40667,1.41169,94037,
2011.05.16,1.40900,1.42437,1.40478,1.41551,91594,
2011.05.17,1.41553,1.42376,1.41207,1.42364,96848,
2011.05.18,1.42364,1.42861,1.41947,1.42485,89178,
2011.05.19,1.42485,1.43244,1.42059,1.43077,89876,
2011.05.20,1.43078,1.43446,1.41320,1.41591,87095,
2011.05.23,1.41246,1.41449,1.39691,1.40471,96538,
2011.05.24,1.40470,1.41321,1.40022,1.40991,91359,
2011.05.25,1.40990,1.41177,1.40131,1.40872,91346,
2011.05.26,1.40873,1.42062,1.40674,1.41441,127985,
2011.05.27,1.41440,1.43216,1.41242,1.43173,99038,
2011.05.30,1.43210,1.43227,1.42567,1.42812,56553,
2011.05.31,1.42813,1.44236,1.42784,1.43957,88513,
2011.06.01,1.43955,1.44579,1.43203,1.43274,90160,
2011.06.02,1.43276,1.45121,1.43075,1.44900,86779,
2011.06.03,1.44899,1.46420,1.44507,1.46310,88031,
2011.06.06,1.46075,1.46571,1.45570,1.45749,90795,
2011.06.07,1.45748,1.46955,1.45634,1.46905,91097,
2011.06.08,1.46907,1.46941,1.45640,1.45823,90446,
2011.06.09,1.45827,1.46471,1.44773,1.45093,84770,
2011.06.10,1.45094,1.45501,1.43221,1.43458,86997,
2011.06.13,1.43235,1.44295,1.43205,1.44123,83231,
2011.06.14,1.44122,1.44971,1.43785,1.44394,83551,
2011.06.15,1.44393,1.44506,1.41560,1.41787,90282,
2011.06.16,1.41788,1.42184,1.40731,1.42055,101566,
2011.06.17,1.42049,1.43382,1.41274,1.43095,91611,
2011.06.20,1.42751,1.43265,1.41910,1.43033,81817,
2011.06.21,1.43032,1.44220,1.43028,1.44110,82394,
2011.06.22,1.44109,1.44407,1.43410,1.43545,86715,
2011.06.23,1.43551,1.43567,1.41265,1.42555,92325,
2011.06.24,1.42558,1.43055,1.41416,1.41864,89305,
2011.06.27,1.41921,1.42924,1.41023,1.42865,86757,
2011.06.28,1.42865,1.43959,1.42366,1.43701,88144,
2011.06.29,1.43701,1.44470,1.43380,1.44345,86659,
2011.06.30,1.44346,1.45364,1.44268,1.45013,83613,
2011.07.01,1.45012,1.45501,1.44359,1.45246,81665,
2011.07.04,1.45362,1.45769,1.44953,1.45381,63146,
2011.07.05,1.45381,1.45530,1.43969,1.44281,79530,
2011.07.06,1.44280,1.44657,1.42858,1.43184,82183,
2011.07.07,1.43183,1.43733,1.42212,1.43626,81432,
2011.07.08,1.43626,1.43679,1.42059,1.42632,81936,
2011.07.11,1.42043,1.42266,1.39858,1.40284,91487,
2011.07.12,1.40284,1.40607,1.38371,1.39751,109731,
2011.07.13,1.39752,1.41920,1.39512,1.41641,99810,
2011.07.14,1.41647,1.42808,1.41156,1.41419,101860,
2011.07.15,1.41418,1.41981,1.40919,1.41558,86233,
2011.07.18,1.41121,1.41331,1.40140,1.41114,85594,
2011.07.19,1.41110,1.42160,1.40687,1.41545,84834,
2011.07.20,1.41545,1.42387,1.41326,1.42146,81142,
2011.07.21,1.42141,1.44332,1.41385,1.44238,94929,
2011.07.22,1.44239,1.44372,1.43240,1.43567,81613,
2011.07.25,1.43879,1.44162,1.43243,1.43762,81564,
2011.07.26,1.43760,1.45246,1.43566,1.45094,86108,
2011.07.27,1.45097,1.45346,1.43389,1.43674,82413,
2011.07.28,1.43677,1.43998,1.42541,1.43328,86884,
2011.07.29,1.43327,1.44122,1.42290,1.43960,93485,
2011.08.01,1.43804,1.44525,1.41844,1.42492,92292,
2011.08.02,1.42490,1.42822,1.41506,1.42019,97716,
2011.08.03,1.42020,1.43435,1.41428,1.43222,101117,
2011.08.04,1.43221,1.43698,1.40888,1.40897,108461,
2011.08.05,1.40900,1.42972,1.40553,1.42804,115887,
2011.08.08,1.44203,1.44316,1.41303,1.41773,123498,
2011.08.09,1.41771,1.43759,1.41521,1.43747,133504,
2011.08.10,1.43746,1.44006,1.41622,1.41765,115575,
2011.08.11,1.41766,1.42912,1.41039,1.42394,122766,
2011.08.12,1.42396,1.42899,1.41495,1.42448,99960,
2011.08.15,1.42640,1.44748,1.42440,1.44435,88937,
2011.08.16,1.44437,1.44709,1.43538,1.44062,94707,
2011.08.17,1.44062,1.45167,1.43250,1.44250,92001,
2011.08.18,1.44250,1.44508,1.42711,1.43319,95789,
2011.08.19,1.43318,1.44507,1.42585,1.43950,99105,
2011.08.22,1.43930,1.44339,1.43470,1.43575,85051,
2011.08.23,1.43574,1.44987,1.43527,1.44403,85968,
2011.08.24,1.44404,1.44806,1.43798,1.44136,87240,
2011.08.25,1.44137,1.44738,1.43283,1.43779,82856,
2011.08.26,1.43778,1.45008,1.43291,1.44984,85131,
2011.08.29,1.44986,1.45482,1.44657,1.45099,72681,
2011.08.30,1.45099,1.45328,1.43842,1.44408,81984,
2011.08.31,1.44409,1.44677,1.43591,1.43687,78107,
2011.09.01,1.43686,1.43832,1.42262,1.42582,83988,
2011.09.02,1.42583,1.42870,1.41839,1.42037,83001,
2011.09.05,1.41619,1.41726,1.40606,1.40963,82566,
2011.09.06,1.40962,1.42689,1.39733,1.39969,102371,
2011.09.07,1.39968,1.41476,1.39909,1.40971,96377,
2011.09.08,1.40972,1.40984,1.38720,1.38810,96491,
2011.09.09,1.38811,1.39360,1.36272,1.36532,108300,
2011.09.12,1.35844,1.36920,1.34989,1.36776,118261,
2011.09.13,1.36787,1.37385,1.35582,1.36776,111863,
2011.09.14,1.36774,1.37826,1.35909,1.37535,113545,
2011.09.15,1.37533,1.39359,1.37031,1.38757,105812,
2011.09.16,1.38756,1.38925,1.37536,1.37919,98308,
2011.09.19,1.36904,1.37196,1.35868,1.36853,102437,
2011.09.20,1.36846,1.37432,1.35927,1.36990,111329,
2011.09.21,1.36989,1.37953,1.35629,1.35715,111856,
2011.09.22,1.35714,1.36001,1.33856,1.34626,126054,
2011.09.23,1.34618,1.35663,1.34188,1.34958,121564,
2011.09.26,1.35215,1.35492,1.33624,1.35326,123960,
2011.09.27,1.35323,1.36668,1.34793,1.35835,113132,
2011.09.28,1.35826,1.36892,1.35326,1.35420,109912,
2011.09.29,1.35419,1.36774,1.35194,1.35963,115276,
2011.09.30,1.35959,1.36001,1.33837,1.33845,106837,
2011.10.03,1.33431,1.33808,1.31667,1.31747,112631,
2011.10.04,1.31744,1.33681,1.31452,1.33471,122598,
2011.10.05,1.33473,1.33826,1.32599,1.33474,115033,
2011.10.06,1.33474,1.34500,1.32417,1.34367,107823,
2011.10.07,1.34365,1.35241,1.33607,1.33755,100681,
2011.10.10,1.33866,1.36975,1.33774,1.36408,93546,
2011.10.11,1.36409,1.36828,1.35654,1.36387,100379,
2011.10.12,1.36391,1.38325,1.35824,1.37905,103180,
2011.10.13,1.37906,1.38251,1.36852,1.37764,104025,
2011.10.14,1.37762,1.38936,1.37231,1.38780,98981,
2011.10.17,1.38659,1.39137,1.37250,1.37370,97334,
2011.10.18,1.37369,1.38163,1.36526,1.37509,105981,
2011.10.19,1.37508,1.38681,1.37247,1.37594,106193,
2011.10.20,1.37588,1.38412,1.36565,1.37794,110290,
2011.10.21,1.37793,1.39004,1.37043,1.38917,102760,
2011.10.24,1.38408,1.39557,1.38222,1.39281,101606,
2011.10.25,1.39280,1.39588,1.38492,1.39063,104428,
2011.10.26,1.39067,1.39740,1.37997,1.39058,105474,
2011.10.27,1.39049,1.42460,1.38641,1.41877,115537,
2011.10.28,1.41880,1.42001,1.41331,1.41453,98908,
2011.10.31,1.41505,1.41695,1.38287,1.38593,106425,
2011.11.01,1.38592,1.38702,1.36085,1.36960,115756,
2011.11.02,1.36961,1.38265,1.36362,1.37473,111211,
2011.11.03,1.37473,1.38541,1.36563,1.38127,112527,
2011.11.04,1.38128,1.38655,1.37111,1.37898,99648,
2011.11.07,1.38271,1.38303,1.36814,1.37743,99239,
2011.11.08,1.37744,1.38464,1.37242,1.38326,95072,
2011.11.09,1.38324,1.38580,1.35231,1.35414,107675,
2011.11.10,1.35415,1.36518,1.34837,1.36068,107648,
2011.11.11,1.36066,1.37944,1.35778,1.37473,93534,
2011.11.14,1.38083,1.38091,1.35914,1.36321,98787,
2011.11.15,1.36320,1.36402,1.34961,1.35388,101982,
2011.11.16,1.35389,1.35560,1.34286,1.34624,107884,
2011.11.17,1.34622,1.35392,1.34213,1.34570,112965,
2011.11.18,1.34568,1.36136,1.34470,1.35222,103872,
2011.11.21,1.35111,1.35398,1.34300,1.34885,101155,
2011.11.22,1.34885,1.35678,1.34687,1.35040,96548,
2011.11.23,1.35041,1.35304,1.33201,1.33411,98888,
2011.11.24,1.33411,1.34109,1.33160,1.33452,79768,
2011.11.25,1.33452,1.33507,1.32123,1.32367,90602,
2011.11.28,1.33226,1.33982,1.32728,1.33190,100095,
2011.11.29,1.33188,1.34411,1.32854,1.33148,98675,
2011.11.30,1.33147,1.35306,1.32591,1.34449,100364,
2011.12.01,1.34447,1.35200,1.34175,1.34610,95401,
2011.12.02,1.34606,1.35456,1.33629,1.33896,83072,
2011.12.05,1.34228,1.34851,1.33748,1.34001,85578,
2011.12.06,1.34000,1.34271,1.33333,1.34004,87350,
2011.12.07,1.34011,1.34530,1.33508,1.34112,83242,
2011.12.08,1.34112,1.34569,1.32882,1.33401,84965,
2011.12.09,1.33398,1.34327,1.32810,1.33842,84888,
2011.12.12,1.33802,1.33806,1.31623,1.31871,81905,
2011.12.13,1.31869,1.32356,1.30086,1.30359,87295,
2011.12.14,1.30356,1.30635,1.29462,1.29819,93213,
2011.12.15,1.29817,1.30489,1.29566,1.30149,82907,
2011.12.16,1.30148,1.30834,1.29950,1.30429,77502,
2011.12.19,1.30405,1.30422,1.29827,1.29974,80592,
2011.12.20,1.29973,1.31314,1.29926,1.30812,78894,
2011.12.21,1.30813,1.31956,1.30254,1.30463,85726,
2011.12.22,1.30463,1.31183,1.30171,1.30493,74803,
2011.12.23,1.30492,1.30946,1.30259,1.30393,62355,
2011.12.26,1.30549,1.30813,1.30505,1.30571,20125,
2011.12.27,1.30564,1.30824,1.30422,1.30696,51406,
2011.12.28,1.30694,1.30791,1.29116,1.29400,66856,
2011.12.29,1.29399,1.29641,1.28577,1.29605,75906,
2011.12.30,1.29604,1.29981,1.29039,1.29570,72708,
2012.01.02,1.29357,1.29681,1.29168,1.29332,40011,
2012.01.03,1.29331,1.30762,1.29312,1.30489,81388,
2012.01.04,1.30489,1.30719,1.28974,1.29423,80588,
2012.01.05,1.29420,1.29461,1.27702,1.27879,92426,
2012.01.06,1.27878,1.28121,1.26972,1.27188,80314,
2012.01.09,1.26947,1.27848,1.26661,1.27643,82032,
2012.01.10,1.27643,1.28174,1.27424,1.27767,76312,
2012.01.11,1.27766,1.27893,1.26619,1.27058,84678,
2012.01.12,1.27059,1.28442,1.26994,1.28136,83655,
2012.01.13,1.28135,1.28778,1.26241,1.26775,92438,
2012.01.16,1.26335,1.26873,1.26254,1.26661,72800,
2012.01.17,1.26662,1.28080,1.26488,1.27356,88621,
2012.01.18,1.27356,1.28673,1.27337,1.28628,90402,
2012.01.19,1.28630,1.29705,1.28390,1.29679,87313,
2012.01.20,1.29677,1.29854,1.28873,1.29298,78753,
2012.01.23,1.28780,1.30521,1.28754,1.30126,79657,
2012.01.24,1.30130,1.30618,1.29534,1.30353,78143,
2012.01.25,1.30348,1.31199,1.29307,1.31054,82069,
2012.01.26,1.31055,1.31832,1.30896,1.31079,77096,
2012.01.27,1.31077,1.32330,1.30770,1.32189,85249,
2012.01.30,1.32264,1.32264,1.30767,1.31427,80481,
2012.01.31,1.31427,1.32126,1.30427,1.30825,85510,
2012.02.01,1.30826,1.32168,1.30257,1.31598,87557,
2012.02.02,1.31599,1.31959,1.30854,1.31430,84336,
2012.02.03,1.31430,1.32044,1.30657,1.31561,83351,
2012.02.06,1.31137,1.31409,1.30278,1.31292,84119,
2012.02.07,1.31292,1.32692,1.30891,1.32598,89173,
2012.02.08,1.32597,1.32878,1.32207,1.32596,82576,
2012.02.09,1.32595,1.33199,1.32148,1.32847,89049,
2012.02.10,1.32846,1.32901,1.31551,1.31954,85235,
2012.02.13,1.32093,1.32833,1.31858,1.31858,81412,
2012.02.14,1.31857,1.32154,1.30800,1.31330,88387,
2012.02.15,1.31328,1.31902,1.30442,1.30654,91028,
2012.02.16,1.30653,1.31572,1.29745,1.31297,93437,
2012.02.17,1.31297,1.31964,1.31148,1.31386,76429,
2012.02.20,1.31782,1.32762,1.31724,1.32419,69367,
2012.02.21,1.32420,1.32922,1.31865,1.32321,89860,
2012.02.22,1.32321,1.32652,1.32110,1.32483,82391,
2012.02.23,1.32482,1.33776,1.32309,1.33717,76406,
2012.02.24,1.33717,1.34856,1.33569,1.34460,74693,
2012.02.27,1.34632,1.34788,1.33662,1.33968,82213,
2012.02.28,1.33967,1.34703,1.33896,1.34572,84696,
2012.02.29,1.34571,1.34851,1.33145,1.33238,86689,
2012.03.01,1.33236,1.33559,1.32825,1.33107,82453,
2012.03.02,1.33103,1.33320,1.31866,1.31979,78976,
2012.03.05,1.31913,1.32394,1.31600,1.32159,76936,
2012.03.06,1.32158,1.32252,1.31030,1.31116,81905,
2012.03.07,1.31115,1.31636,1.30961,1.31487,76857,
2012.03.08,1.31486,1.32904,1.31349,1.32738,77359,
2012.03.09,1.32737,1.32769,1.30966,1.31221,77174,
2012.03.12,1.31111,1.31581,1.30786,1.31470,70360,
2012.03.13,1.31473,1.31905,1.30516,1.30800,74970,
2012.03.14,1.30808,1.30901,1.30106,1.30295,71912,
2012.03.15,1.30294,1.31184,1.30032,1.30780,75125,
2012.03.16,1.30781,1.31862,1.30484,1.31735,67767,
2012.03.19,1.31783,1.32642,1.31415,1.32366,62310,
2012.03.20,1.32364,1.32512,1.31720,1.32237,66913,
2012.03.21,1.32236,1.32840,1.31780,1.32118,69661,
2012.03.22,1.32120,1.32540,1.31343,1.31978,74563,
2012.03.23,1.31976,1.32916,1.31906,1.32690,69627,
2012.03.26,1.32697,1.33667,1.31919,1.33569,70917,
2012.03.27,1.33571,1.33848,1.33126,1.33136,66055,
2012.03.28,1.33135,1.33720,1.32770,1.33160,72002,
2012.03.29,1.33159,1.33449,1.32518,1.33012,70964,
2012.03.30,1.33012,1.33755,1.32934,1.33408,69721,
2012.04.02,1.33595,1.33801,1.32781,1.33194,67560,
2012.04.03,1.33196,1.33670,1.32128,1.32327,75006,
2012.04.04,1.32326,1.32383,1.31069,1.31416,80148,
2012.04.05,1.31416,1.31636,1.30346,1.30650,70748,
2012.04.06,1.30649,1.31115,1.30506,1.30911,41799,
2012.04.09,1.31006,1.31330,1.30330,1.31049,48127,
2012.04.10,1.31048,1.31436,1.30538,1.30812,79561,
2012.04.11,1.30814,1.31564,1.30659,1.31086,75521,
2012.04.12,1.31084,1.32122,1.31018,1.31865,77047,
2012.04.13,1.31867,1.32001,1.30691,1.30764,74017,
2012.04.16,1.30641,1.31466,1.29945,1.31409,81834,
2012.04.17,1.31408,1.31717,1.30899,1.31254,74113,
2012.04.18,1.31256,1.31402,1.30577,1.31224,75693,
2012.04.19,1.31224,1.31648,1.30697,1.31370,79245,
2012.04.20,1.31369,1.32262,1.31284,1.32170,71359,
2012.04.23,1.32005,1.32098,1.31042,1.31555,69040,
2012.04.24,1.31553,1.32174,1.31445,1.31962,68801,
2012.04.25,1.31960,1.32356,1.31730,1.32162,72109,
2012.04.26,1.32161,1.32623,1.31983,1.32192,68171,
2012.04.27,1.32194,1.32695,1.31572,1.32502,77124,
2012.04.30,1.32362,1.32660,1.32078,1.32382,62940,
2012.05.01,1.32383,1.32828,1.32039,1.32359,50276,
2012.05.02,1.32358,1.32408,1.31230,1.31579,68243,
2012.05.03,1.31578,1.31795,1.30963,1.31519,62743,
2012.05.04,1.31520,1.31775,1.30799,1.30832,63193,
2012.05.07,1.30127,1.30640,1.29546,1.30497,77229,
2012.05.08,1.30497,1.30645,1.29821,1.30047,78307,
2012.05.09,1.30048,1.30068,1.29110,1.29282,85509,
2012.05.10,1.29282,1.29783,1.29237,1.29351,76563,
2012.05.11,1.29350,1.29569,1.29044,1.29162,76723,
2012.05.14,1.29013,1.29038,1.28209,1.28226,73492,
2012.05.15,1.28227,1.28689,1.27215,1.27288,74033,
2012.05.16,1.27287,1.27579,1.26807,1.27150,81761,
2012.05.17,1.27150,1.27488,1.26666,1.26974,78042,
2012.05.18,1.26975,1.27933,1.26417,1.27783,86021,
2012.05.21,1.27650,1.28230,1.27248,1.28174,82247,
2012.05.22,1.28172,1.28192,1.26575,1.26828,80709,
2012.05.23,1.26829,1.26877,1.25449,1.25811,95980,
2012.05.24,1.25813,1.26188,1.25156,1.25314,92631,
2012.05.25,1.25315,1.26015,1.24964,1.25153,81926,
2012.05.28,1.25750,1.26235,1.25244,1.25405,66881,
2012.05.29,1.25406,1.25740,1.24609,1.25016,86128,
2012.05.30,1.25016,1.25043,1.23608,1.23659,92167,
2012.05.31,1.23657,1.24278,1.23362,1.23641,90042,
2012.06.01,1.23641,1.24537,1.22882,1.24334,96985,
2012.06.04,1.24166,1.25087,1.23854,1.24984,82307,
2012.06.05,1.24980,1.25411,1.24099,1.24514,83236,
2012.06.06,1.24517,1.25848,1.24404,1.25806,90845,
2012.06.07,1.25805,1.26243,1.25397,1.25595,90699,
2012.06.08,1.25595,1.25742,1.24352,1.25160,91453,
2012.06.11,1.26400,1.26677,1.24802,1.24819,91539,
2012.06.12,1.24815,1.25280,1.24423,1.25029,90503,
2012.06.13,1.25030,1.26094,1.24733,1.25564,89580,
2012.06.14,1.25566,1.26354,1.25419,1.26319,87712,
2012.06.15,1.26322,1.26643,1.25919,1.26361,82601,
2012.06.18,1.26961,1.27468,1.25569,1.25753,94613,
2012.06.19,1.25751,1.27297,1.25682,1.26844,88519,
2012.06.20,1.26845,1.27418,1.26381,1.27066,88946,
2012.06.21,1.27062,1.27070,1.25317,1.25393,91717,
2012.06.22,1.25393,1.25827,1.25191,1.25677,78201,
2012.06.25,1.25465,1.25575,1.24710,1.25035,72637,
2012.06.26,1.25034,1.25298,1.24419,1.24931,82424,
2012.06.27,1.24925,1.25074,1.24454,1.24677,78218,
2012.06.28,1.24675,1.25236,1.24071,1.24426,87469,
2012.06.29,1.24425,1.26918,1.24331,1.26655,101065,
2012.07.02,1.26772,1.26799,1.25680,1.25752,80269,
2012.07.03,1.25748,1.26257,1.25588,1.26069,72527,
2012.07.04,1.26067,1.26074,1.25080,1.25253,66333,
2012.07.05,1.25258,1.25375,1.23637,1.23905,83410,
2012.07.06,1.23905,1.24008,1.22598,1.22875,81374,
2012.07.09,1.22634,1.23230,1.22557,1.23120,74431,
2012.07.10,1.23122,1.23331,1.22351,1.22492,76854,
2012.07.11,1.22491,1.22957,1.22124,1.22378,76193,
