DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2018.01.02,00:00,1.20088,1.20153,1.20007,1.20135,387
2018.01.02,01:00,1.20118,1.20145,1.20045,1.20098,1671
2018.01.02,02:00,1.20087,1.20159,1.20083,1.20152,638
2018.01.02,03:00,1.20151,1.20223,1.20136,1.20146,1193
2018.01.02,04:00,1.20152,1.20154,1.20069,1.20087,939
2018.01.02,05:00,1.20087,1.20202,1.20087,1.20110,870
2018.01.02,06:00,1.20110,1.20184,1.20106,1.20165,602
2018.01.02,07:00,1.20165,1.20245,1.20150,1.20245,999
2018.01.02,08:00,1.20246,1.20304,1.20227,1.20285,2634
2018.01.02,09:00,1.20284,1.20383,1.20238,1.20362,6613
2018.01.02,10:00,1.20362,1.20477,1.20323,1.20452,6841
2018.01.02,11:00,1.20453,1.20707,1.20422,1.20705,6109
2018.01.02,12:00,1.20705,1.20812,1.20613,1.20685,7746
2018.01.02,13:00,1.20686,1.20708,1.20593,1.20594,4596
2018.01.02,14:00,1.20593,1.20688,1.20568,1.20628,5557
2018.01.02,15:00,1.20628,1.20665,1.20562,1.20574,6234
2018.01.02,16:00,1.20572,1.20588,1.20353,1.20389,8089
2018.01.02,17:00,1.20390,1.20458,1.20261,1.20450,9601
2018.01.02,18:00,1.20451,1.20591,1.20437,1.20492,8040
2018.01.02,19:00,1.20492,1.20536,1.20413,1.20447,4317
2018.01.02,20:00,1.20447,1.20499,1.20419,1.20445,2740
2018.01.02,21:00,1.20445,1.20537,1.20431,1.20533,2138
2018.01.02,22:00,1.20535,1.20606,1.20517,1.20591,2221
2018.01.02,23:00,1.20598,1.20652,1.20545,1.20579,1948
2018.01.03,00:00,1.20579,1.20582,1.20550,1.20574,1279
2018.01.03,01:00,1.20573,1.20661,1.20570,1.20619,1586
2018.01.03,02:00,1.20619,1.20638,1.20493,1.20592,3043
2018.01.03,03:00,1.20592,1.20634,1.20444,1.20530,3230
2018.01.03,04:00,1.20529,1.20530,1.20420,1.20423,2848
2018.01.03,05:00,1.20424,1.20478,1.20418,1.20467,1302
2018.01.03,06:00,1.20467,1.20538,1.20465,1.20509,1466
2018.01.03,07:00,1.20510,1.20592,1.20492,1.20583,1907
2018.01.03,08:00,1.20582,1.20605,1.20441,1.20449,3213
2018.01.03,09:00,1.20448,1.20490,1.20346,1.20391,7075
2018.01.03,10:00,1.20390,1.20430,1.20312,1.20426,5955
2018.01.03,11:00,1.20426,1.20434,1.20344,1.20382,4316
2018.01.03,12:00,1.20382,1.20406,1.20149,1.20177,7516
2018.01.03,13:00,1.20177,1.20189,1.20107,1.20150,6271
2018.01.03,14:00,1.20151,1.20236,1.20108,1.20231,4983
2018.01.03,15:00,1.20232,1.20345,1.20198,1.20327,5345
2018.01.03,16:00,1.20326,1.20328,1.20142,1.20172,6391
2018.01.03,17:00,1.20172,1.20247,1.20034,1.20236,9382
2018.01.03,18:00,1.20235,1.20323,1.20198,1.20298,5007
2018.01.03,19:00,1.20299,1.20316,1.20243,1.20273,2664
2018.01.03,20:00,1.20272,1.20294,1.20220,1.20274,2118
2018.01.03,21:00,1.20271,1.20301,1.20010,1.20163,8049
2018.01.03,22:00,1.20162,1.20290,1.20102,1.20124,3927
2018.01.03,23:00,1.20117,1.20159,1.20101,1.20142,1691
2018.01.04,00:00,1.20142,1.20165,1.20103,1.20106,2216
2018.01.04,01:00,1.20106,1.20140,1.20064,1.20108,2026
2018.01.04,02:00,1.20108,1.20113,1.20043,1.20100,2830
2018.01.04,03:00,1.20099,1.20110,1.20049,1.20079,2598
2018.01.04,04:00,1.20079,1.20191,1.20077,1.20178,3058
2018.01.04,05:00,1.20177,1.20178,1.20125,1.20146,1685
2018.01.04,06:00,1.20147,1.20223,1.20146,1.20179,1712
2018.01.04,07:00,1.20178,1.20230,1.20144,1.20191,1585
2018.01.04,08:00,1.20192,1.20381,1.20172,1.20279,4514
2018.01.04,09:00,1.20278,1.20376,1.20249,1.20284,5740
2018.01.04,10:00,1.20282,1.20352,1.20215,1.20259,5749
2018.01.04,11:00,1.20258,1.20460,1.20251,1.20433,5725
2018.01.04,12:00,1.20433,1.20557,1.20414,1.20513,6292
2018.01.04,13:00,1.20512,1.20658,1.20468,1.20622,6248
2018.01.04,14:00,1.20622,1.20746,1.20593,1.20705,5125
2018.01.04,15:00,1.20706,1.20748,1.20549,1.20621,11167
2018.01.04,16:00,1.20622,1.20861,1.20602,1.20823,8971
2018.01.04,17:00,1.20822,1.20889,1.20715,1.20744,8967
2018.01.04,18:00,1.20743,1.20769,1.20607,1.20631,7880
2018.01.04,19:00,1.20633,1.20785,1.20619,1.20744,4268
2018.01.04,20:00,1.20743,1.20802,1.20609,1.20647,4511
2018.01.04,21:00,1.20647,1.20718,1.20639,1.20717,2817
2018.01.04,22:00,1.20716,1.20735,1.20653,1.20685,2342
2018.01.04,23:00,1.20689,1.20711,1.20655,1.20678,1650
2018.01.05,00:00,1.20678,1.20728,1.20640,1.20717,1849
2018.01.05,01:00,1.20714,1.20725,1.20665,1.20665,1428
2018.01.05,02:00,1.20664,1.20795,1.20651,1.20774,3891
2018.01.05,03:00,1.20775,1.20794,1.20700,1.20724,2887
2018.01.05,04:00,1.20723,1.20743,1.20680,1.20710,2349
2018.01.05,05:00,1.20709,1.20755,1.20709,1.20744,1869
2018.01.05,06:00,1.20744,1.20748,1.20703,1.20741,1302
2018.01.05,07:00,1.20740,1.20754,1.20697,1.20715,2351
2018.01.05,08:00,1.20714,1.20744,1.20567,1.20567,3674
2018.01.05,09:00,1.20570,1.20671,1.20554,1.20574,6020
2018.01.05,10:00,1.20574,1.20625,1.20511,1.20528,6591
2018.01.05,11:00,1.20528,1.20576,1.20416,1.20444,5054
2018.01.05,12:00,1.20426,1.20540,1.20419,1.20499,5666
2018.01.05,13:00,1.20499,1.20553,1.20481,1.20527,3557
2018.01.05,14:00,1.20528,1.20542,1.20446,1.20476,3812
2018.01.05,15:00,1.20476,1.20828,1.20444,1.20520,17841
2018.01.05,16:00,1.20522,1.20559,1.20250,1.20291,13279
2018.01.05,17:00,1.20300,1.20443,1.20206,1.20360,11909
2018.01.05,18:00,1.20361,1.20434,1.20302,1.20381,6669
2018.01.05,19:00,1.20381,1.20489,1.20362,1.20471,3792
2018.01.05,20:00,1.20471,1.20489,1.20435,1.20453,2508
2018.01.05,21:00,1.20454,1.20508,1.20454,1.20473,1789
2018.01.05,22:00,1.20473,1.20494,1.20388,1.20417,1710
2018.01.05,23:00,1.20419,1.20424,1.20275,1.20298,1793
2018.01.08,00:00,1.20268,1.20356,1.20258,1.20313,1100
2018.01.08,01:00,1.20313,1.20390,1.20313,1.20370,1581
2018.01.08,02:00,1.20371,1.20449,1.20331,1.20426,1428
2018.01.08,03:00,1.20428,1.20523,1.20417,1.20445,3496
2018.01.08,04:00,1.20445,1.20466,1.20308,1.20359,2805
2018.01.08,05:00,1.20358,1.20358,1.20270,1.20324,1696
2018.01.08,06:00,1.20325,1.20330,1.20230,1.20254,2432
2018.01.08,07:00,1.20254,1.20286,1.20119,1.20198,2823
2018.01.08,08:00,1.20198,1.20227,1.20126,1.20141,2633
2018.01.08,09:00,1.20141,1.20145,1.19929,1.19930,5314
2018.01.08,10:00,1.19929,1.20009,1.19834,1.19907,6008
2018.01.08,11:00,1.19908,1.19937,1.19871,1.19897,3927
2018.01.08,12:00,1.19898,1.20093,1.19894,1.20037,4878
2018.01.08,13:00,1.20036,1.20065,1.19845,1.19860,4254
2018.01.08,14:00,1.19860,1.19907,1.19710,1.19716,6072
2018.01.08,15:00,1.19718,1.19787,1.19685,1.19699,6363
2018.01.08,16:00,1.19700,1.19792,1.19664,1.19671,6441
2018.01.08,17:00,1.19672,1.19774,1.19590,1.19751,7078
2018.01.08,18:00,1.19752,1.19821,1.19701,1.19724,5936
2018.01.08,19:00,1.19725,1.19787,1.19687,1.19774,3670
2018.01.08,20:00,1.19774,1.19774,1.19568,1.19621,3467
2018.01.08,21:00,1.19622,1.19657,1.19556,1.19628,2477
2018.01.08,22:00,1.19628,1.19669,1.19612,1.19669,1835
2018.01.08,23:00,1.19663,1.19683,1.19637,1.19669,1167
2018.01.09,00:00,1.19669,1.19698,1.19658,1.19680,1185
2018.01.09,01:00,1.19680,1.19707,1.19662,1.19699,816
2018.01.09,02:00,1.19699,1.19734,1.19651,1.19713,1954
2018.01.09,03:00,1.19714,1.19716,1.19578,1.19669,4764
2018.01.09,04:00,1.19670,1.19756,1.19669,1.19727,5156
2018.01.09,05:00,1.19726,1.19751,1.19675,1.19717,1773
2018.01.09,06:00,1.19717,1.19724,1.19659,1.19681,1463
2018.01.09,07:00,1.19681,1.19718,1.19642,1.19651,1621
2018.01.09,08:00,1.19650,1.19650,1.19518,1.19560,3540
2018.01.09,09:00,1.19560,1.19708,1.19509,1.19512,8066
2018.01.09,10:00,1.19511,1.19529,1.19324,1.19393,8025
2018.01.09,11:00,1.19394,1.19463,1.19320,1.19387,7063
2018.01.09,12:00,1.19386,1.19396,1.19252,1.19277,5829
2018.01.09,13:00,1.19277,1.19299,1.19210,1.19283,4294
2018.01.09,14:00,1.19282,1.19357,1.19252,1.19333,4507
2018.01.09,15:00,1.19331,1.19339,1.19155,1.19209,6902
2018.01.09,16:00,1.19209,1.19331,1.19172,1.19179,7052
2018.01.09,17:00,1.19177,1.19336,1.19176,1.19297,8481
