<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>;
2017.01.02;105100;105275;104480;104519;72920;62314105000;1;
2017.01.03;104524;104898;103399;104044;139335;1;2;7
2017.01.04;104044;104996;103895;104871;138590;1;3;7
2017.01.05;104871;106149;104804;106055;170836;1;4;7
2017.01.06;106005;106207;105235;105235;146008;1;5;0
2017.01.09;105292;105826;105104;105723;125800;1;6;0
2017.01.10;105718;106268;105506;105534;147523;1;7;0
2017.01.11;105530;106226;104534;105818;180859;1;8;0
2017.01.12;105818;106844;105710;106109;180739;1;9;0
2017.01.13;106104;106730;105959;106420;140972;1;10;7
2017.01.16;106023;106355;105789;105946;117923;93007350000;11;
2017.01.17;105946;107190;105893;107120;171611;1;12;0
2017.01.18;107111;107150;106278;106286;145054;1;13;0
2017.01.19;106288;106763;105888;106627;167230;1;14;0
2017.01.20;106610;107090;106248;106982;161072;1;15;7
2017.01.23;107004;107688;106930;107631;156981;1;16;0
2017.01.24;107643;107745;107199;107310;142073;1;17;0
2017.01.25;107288;107694;107109;107465;139081;1;18;0
2017.01.26;107477;107653;106572;106810;146134;1;19;0
2017.01.27;106794;107247;106579;106968;129909;1;20;0
2017.01.30;107023;107399;106200;106920;130424;1;21;0
2017.01.31;106921;108120;106843;107968;168241;1;22;7
2017.02.01;107958;108070;107298;107675;147733;1;23;0
2017.02.02;107668;108284;107556;107569;150389;1;24;0
2017.02.03;107570;107973;107106;107789;138674;1;25;0
2017.02.06;107848;107906;107053;107488;128085;1;26;0
2017.02.07;107392;107492;106558;106820;129264;1;27;0
2017.02.08;106795;107138;106402;106969;128190;1;28;0
2017.02.09;106971;107092;106505;106541;122349;1;29;0
2017.02.10;106552;106674;106072;106377;126662;1;30;0
2017.02.13;106276;106581;105917;105972;111130;1;31;0
2017.02.14;105948;106331;105607;105764;122216;1;32;0
2017.02.15;105738;106090;105210;105991;129683;1;33;7
2017.02.16;105980;106790;105906;106727;129206;1;34;0
2017.02.17;106725;106762;106051;106056;117825;1;35;0
2017.02.20;106069;106326;106029;106103;94749;85139246000;36;
2017.02.21;106099;106149;105255;105349;114609;1;37;7
2017.02.22;105345;105737;104933;105573;130425;1;38;0
2017.02.23;105526;105949;105373;105804;114714;94768004000;39;
2017.02.24;105778;106176;105513;105513;114958;1;40;0
2017.02.27;105622;106304;105511;105851;112006;97471144000;41;
2017.02.28;105851;106298;105680;105757;119666;1;42;7
2017.03.01;105731;105890;105138;105459;145664;1;43;7
2017.03.02;105457;105512;104946;105059;119742;1;44;7
2017.03.03;105058;106236;105015;106166;132864;1;45;0
2017.03.06;106033;106397;105745;105803;110065;1;46;7
