DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2018.01.02,120088,120812,120007,120579,92779
2018.01.03,120579,120661,120010,120142,100595
2018.01.04,120142,120889,120043,120678,109715
2018.01.05,120678,120828,120206,120298,113628
2018.01.08,120268,120523,119556,119669,88921
2018.01.09,119669,119756,119155,119364,100787
2018.01.10,119364,120181,119232,119474,151752
2018.01.11,119474,120588,119293,120314,155197
2018.01.12,120314,122185,120308,122000,189447
2018.01.15,121932,122965,121875,122626,155933
2018.01.16,122626,122834,121951,122595,164847
2018.01.17,122595,123231,121769,121843,204183
2018.01.18,121843,122648,121652,122369,167647
2018.01.19,122369,122954,122149,122224,160024
2018.01.22,122698,122708,122139,122615,129818
2018.01.23,122615,123062,122230,122983,147486
2018.01.24,122979,124149,122912,124070,185845
2018.01.25,124070,125378,123638,123926,308719
2018.01.26,123926,124938,123699,124264,233580
2018.01.29,124259,124321,123368,123813,184146
2018.01.30,123813,124540,123348,124021,176386
2018.01.31,124017,124748,123870,124132,208308
2018.02.01,124132,125220,123854,125078,185833
2018.02.02,125073,125181,124091,124560,196693
2018.02.05,124344,124749,123625,123665,212883
2018.02.06,123658,124346,123139,123768,298127
2018.02.07,123768,124060,122457,122627,180783
2018.02.08,122620,122948,122121,122467,237241
2018.02.09,122467,122873,122054,122498,231451
2018.02.12,122442,122973,122350,122906,136792
2018.02.13,122906,123710,122845,123501,138960
2018.02.14,123497,124651,122758,124494,197638
2018.02.15,124491,125102,124480,125062,165673
2018.02.16,125062,125554,123934,124105,171908
2018.02.19,124008,124352,123691,124070,118021
2018.02.20,124068,124123,123196,123367,150082
2018.02.21,123367,123598,122810,122822,190080
2018.02.22,122819,123521,122595,123292,150020
2018.02.23,123292,123369,122798,122935,117594
2018.02.26,122930,123550,122779,123167,127575
2018.02.27,123167,123464,122215,122325,154107
2018.02.28,122325,122416,121878,121929,141018
2018.03.01,121924,122733,121546,122651,172658
2018.03.02,122651,123359,122514,123184,153468
2018.03.05,123324,123645,122688,123353,159863
2018.03.06,123353,124201,123280,124033,148585
2018.03.07,124033,124448,123848,124107,150782
2018.03.08,124107,124462,122979,123103,175052
2018.03.09,123102,123342,122730,123053,152115
2018.03.12,123096,123456,122903,123346,103057
2018.03.13,123344,124074,123145,123911,134095
2018.03.14,123911,124125,123471,123680,132189
2018.03.15,123678,123836,123003,123044,139664
2018.03.16,123046,123362,122600,122889,110331
2018.03.19,122872,123588,122580,123341,117506
2018.03.20,123341,123547,122396,122435,111873
2018.03.21,122435,123498,122417,123385,145129
2018.03.22,123385,123885,122850,123056,150537
2018.03.23,123056,123733,123056,123514,125138
2018.03.26,123497,124615,123485,124431,111194
2018.03.27,124422,124763,123719,124020,124710
2018.03.28,124017,124216,123000,123073,123308
2018.03.29,123079,123358,122839,123001,115697
2018.03.30,122999,123304,122866,123218,54735
2018.04.02,123192,123450,122811,123016,65570
2018.04.03,123018,123360,122536,122699,106695
2018.04.04,122699,123147,122570,122777,67672
2018.04.05,122774,122903,122183,122401,66831
2018.04.06,122394,122908,122149,122809,99875
2018.04.09,122794,123309,122602,123204,77883
2018.04.10,123184,123776,123027,123557,86437
2018.04.11,123550,123964,123469,123669,77839
2018.04.12,123657,123798,122992,123261,80071
2018.04.13,123255,123459,123070,123290,63714
2018.04.16,123289,123945,123231,123792,57512
2018.04.17,123783,124137,123360,123692,59231
2018.04.18,123689,123971,123415,123734,70339
2018.04.19,123726,124002,123291,123453,80260
2018.04.20,123446,123529,122496,122873,72329
2018.04.23,122695,122895,121975,122083,74477
2018.04.24,122083,122450,121816,122318,80163
2018.04.25,122311,122387,121600,121605,78942
2018.04.26,121599,122099,120963,121031,116739
2018.04.27,121031,121329,120553,121293,90007
2018.04.30,121248,121387,120641,120774,87762
2018.05.01,120772,120840,119814,119921,78079
2018.05.02,119921,120316,119379,119503,128842
2018.05.03,119503,120088,119477,119878,121867
2018.05.04,119878,119954,119108,119609,98396
